park_id,park_name,area_sqkm,lat,lon,amenities_available,h3_index,index_right,ward_id
kmlpark_128,,0.01637,13.0292,77.633102,,8861892ccdfffff,142.0,ward_143
kmlpark_129,,0.06217,13.066078,77.648062,,8861892c35fffff,192.0,ward_193
kmlpark_130,,0.03579,13.033694,77.67414,,8861892c43fffff,,ward_193
kmlpark_131,,0.04876,13.019552,77.651276,,8861892c53fffff,152.0,ward_153
kmlpark_132,,0.06501,13.020779,77.649912,,8861892c53fffff,152.0,ward_153
kmlpark_133,,0.07169,13.013258,77.645089,,8861892eadfffff,152.0,ward_153
kmlpark_134,,0.07589,13.0192,77.639603,,8861892ea1fffff,130.0,ward_131
kmlpark_135,,0.05078,13.026204,77.635496,,8861892ea7fffff,120.0,ward_121
kmlpark_136,,0.07926,13.024672,77.632042,,8861892ea7fffff,120.0,ward_121
kmlpark_137,,0.02403,13.018092,77.638221,,8861892ea1fffff,130.0,ward_131
kmlpark_138,,0.04769,13.016999,77.632983,,8861892ea3fffff,120.0,ward_121
kmlpark_139,,0.05911,13.025313,77.639231,,8861892ea5fffff,120.0,ward_121
kmlpark_140,,0.02171,13.010319,77.618748,,8861892eb1fffff,81.0,ward_82
kmlpark_141,,0.01471,13.012214,77.618984,,8861892eb5fffff,81.0,ward_82
kmlpark_142,,0.03247,13.02633,77.601907,,8861892cd1fffff,87.0,ward_88
kmlpark_143,,0.03643,13.030257,77.61048,,8861892cc3fffff,87.0,ward_88
kmlpark_144,,0.04569,13.031812,77.61249,,8861892cc3fffff,87.0,ward_88
kmlpark_145,,0.00819,13.036865,77.610464,,8861892c89fffff,87.0,ward_88
kmlpark_146,,0.09933,13.006979,77.578359,,8860145b29fffff,38.0,ward_39
kmlpark_147,,0.05747,13.008999,77.578278,,8860145b29fffff,38.0,ward_39
kmlpark_148,,0.03958,13.010133,77.575296,,8860145b2bfffff,38.0,ward_39
kmlpark_149,,0.05361,13.012444,77.575461,,8860145b2bfffff,38.0,ward_39
kmlpark_150,,0.03815,13.009668,77.582675,,8860145b29fffff,38.0,ward_39
kmlpark_151,,0.02762,13.020786,77.577803,,8860145b27fffff,38.0,ward_39
kmlpark_152,,0.06558,13.032094,77.568452,,886014594dfffff,38.0,ward_39
kmlpark_153,,0.06834,13.029552,77.570254,,886014594dfffff,38.0,ward_39
kmlpark_154,,0.05236,13.012378,77.582911,,8860145b29fffff,38.0,ward_39
kmlpark_155,,0.05947,13.023581,77.569525,,8860145949fffff,38.0,ward_39
kmlpark_156,,0.07541,13.029135,77.570174,,886014594dfffff,38.0,ward_39
kmlpark_157,,0.06169,13.032278,77.563248,,8860145941fffff,99.0,ward_100
kmlpark_158,,0.05569,13.023695,77.554624,,886014594bfffff,126.0,ward_127
kmlpark_159,,0.0407,13.030174,77.554666,,8860145943fffff,98.0,ward_99
kmlpark_160,,0.05359,13.02323,77.554684,,886014594bfffff,126.0,ward_127
kmlpark_161,,0.05607,13.028282,77.550909,,8860145943fffff,98.0,ward_99
kmlpark_162,,0.05683,13.030623,77.52461,,8860145919fffff,126.0,ward_127
kmlpark_163,,0.0619,13.027182,77.520525,,886014591bfffff,126.0,ward_127
kmlpark_164,,0.02983,13.03767,77.518498,,8860145913fffff,126.0,ward_127
kmlpark_165,,0.06302,13.028537,77.521441,,886014591bfffff,126.0,ward_127
kmlpark_166,,0.06568,13.023153,77.523333,,8860145825fffff,126.0,ward_127
kmlpark_167,,0.0461,13.037692,77.51849,,8860145913fffff,126.0,ward_127
kmlpark_168,,0.0185,13.028243,77.538998,,8860145957fffff,107.0,ward_108
kmlpark_169,,0.0271,13.038205,77.501024,,88601459c7fffff,173.0,ward_174
kmlpark_170,,0.06414,13.033813,77.50155,,88601459c1fffff,173.0,ward_174
kmlpark_171,,0.01022,13.035063,77.501784,,88601459c1fffff,173.0,ward_174
kmlpark_172,,0.05301,13.036433,77.502016,,88601459c7fffff,173.0,ward_174
kmlpark_173,,0.04439,13.038112,77.502296,,88601459c7fffff,173.0,ward_174
kmlpark_174,,0.01763,13.039193,77.502459,,88601459c7fffff,173.0,ward_174
kmlpark_175,,0.02342,13.03999,77.502586,,88601459c7fffff,173.0,ward_174
kmlpark_176,,0.02987,13.035334,77.511159,,88601459cdfffff,173.0,ward_174
kmlpark_177,,0.0623,13.03189,77.493388,,88601459c3fffff,193.0,ward_194
kmlpark_178,,0.01978,13.006944,77.475986,,88601458e7fffff,193.0,ward_194
kmlpark_179,,0.04385,13.0078,77.477264,,88601458e5fffff,193.0,ward_194
kmlpark_180,,0.00471,13.002622,77.485493,,88601458edfffff,193.0,ward_194
kmlpark_181,,0.01925,13.002822,77.483834,,88601458edfffff,193.0,ward_194
kmlpark_182,,0.02667,13.026058,77.496822,,88601459cbfffff,157.0,ward_158
kmlpark_183,,0.01902,13.018528,77.519021,,8860145821fffff,144.0,ward_145
kmlpark_184,,0.10702,13.027906,77.540039,,8860145951fffff,107.0,ward_108
kmlpark_185,,0.02869,13.010923,77.536105,,8860145867fffff,93.0,ward_94
kmlpark_186,,0.01243,13.014545,77.536159,,886014595bfffff,93.0,ward_94
kmlpark_187,,0.04417,13.010976,77.531505,,8860145867fffff,93.0,ward_94
kmlpark_188,,0.04933,13.017655,77.535127,,886014595bfffff,93.0,ward_94
kmlpark_189,,0.02543,13.011332,77.531861,,8860145867fffff,93.0,ward_94
kmlpark_190,,0.06766,13.017959,77.534207,,886014595bfffff,93.0,ward_94
kmlpark_191,,0.00863,13.017071,77.532324,,886014595bfffff,93.0,ward_94
kmlpark_192,,0.02136,13.017039,77.538294,,886014595bfffff,75.0,ward_76
kmlpark_193,,0.00733,13.018195,77.534269,,886014595bfffff,93.0,ward_94
